NombreServicioTuristico,ClasificacionId,Clasificacion,CategoriaId,Categoria,SubCategoriaId,SubCategoria,Direccion,CorreoElectronico,SitioWeb,Telefono,CodDepartamento,CodProvincia,CodDistrito,NombreDepartamento,NombreProvincia,NombreDistrito,Ruc,Siglas,NombreEmpresa,FechaRegistroDatosEmpresa,FechaActualizacionDatosEmpresa
Ecoamazonia Lodge,2205,AGENCIAS DE VIAJES Y TURISMO,220501,Agencias Mayoristas,220501,Agencias Mayoristas,Bajo Rio Madre de Dios Km 30,reservas@ecoamazonia.com; ecoamazonia@terra.com.pe,www.ecoamazonia.com,963 859 616 / 949 184 291 / (082) 574036,17,1,3,Madre de Dios,Tambopata,Las Piedras,20288049620,Ecoamazonia Lodge,Ecoamazonia Lodge E.I.R.L,2/02/2005,26/10/2024
World International,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Av. San Martin 295,worldinternationaltcq@gmail.com,"",(052) 281065,23,1,1,Tacna,Tacna,Tacna,20602133002,World International,Rutas Internacionales E.I.R.L.,4/07/2019,17/10/2024
Antigua Taberna Queirolo,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,Av. San Mart?n 1090,reservas@antiguatabernaqueirolo.com,www.antiguatabernaqueirolo.com,(01) 460-0441 / 965751282,15,1,21,Lima,Lima,Pueblo Libre,20100906105,Antigua Taberna Queirolo,Antigua Taberna Queirolo S.A.C.,13/10/2014,10/10/2024
Sarhua Tours,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Jr. San Jos? Mz S Lte 05,sarhuatour@gmail.com,sarhuatours.com,990501068 / 941241925,5,1,16,Ayacucho,Huamanga,Andr?s Avelino C?ceres Dorregaray,20605729399,Sarhua Tours,Sarhua Tours Per? EIRL,27/08/2021,23/10/2024
Canana Restaurant Tur?stico,2204,ENTRETENIMIENTO,220406,Pe?as,220406,Pe?as,JR. SAN MARTIN NRO. 791,.,.,978 881 399,13,1,1,La Libertad,Trujillo,Trujillo,20314494998,Canana Restaurant Tur?stico,RESTAURANT TURISTICO CANANA S.R.LTDA.,22/10/2024,22/10/2024
Cruz del Sur,2203,TRANSPORTE,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Principal de ingreso al Chaco 101,"",www.cruzdelsur.com.pe,(01) 311 5050,11,5,5,Ica,Pisco,Paracas,20100227461,Cruz del Sur,Transportes Cruz del Sur S.A.C.,19/08/2003,1/10/2024
Cruz del Sur,2203,TRANSPORTE,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Circunvalaci?n 160,administracion@piura.cruzdelsur.com.pe,www.cruzdelsur.com.pe,(073) 320473 / (073) 337094,20,1,1,Piura,Piura,Piura,20100227461,Cruz del Sur,Transportes Cruz del Sur S.A.C.,19/08/2003,1/10/2024
Centro Yanachaga,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220104,Albergue,220104,Albergue,Carretera Huancabamba Km 1.20 Sector Yanachaga,reservacedey@gmail.com,centro-yanachaga.org,915367963,19,3,3,Pasco,Oxapampa,Huancabamba,20204783498,Centro Yanachaga,Centro de Educaci?n y Desarrollo Yanachaga,29/03/2006,2/10/2024
Intense Peru,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,"Av. Humberto Vidal Unda A-3, Of. 601 Urb. Magisterio (exclusivamente digital)",sales@intenseperu.com,www.intenseperu.com,994008833 / 997369800,8,1,1,Cusco,Cusco,Cusco,20516178516,Intense Peru,Intense Peru S.A.C.,18/07/2007,7/10/2024
INSTABAR ROOFTOP,2204,ENTRETENIMIENTO,220409,Bares/Pubs,220409,Bares/Pubs,"Playa El Elio, Av la Ribera 725",.,.,977 655 839,13,1,4,La Libertad,Trujillo,Huanchaco,20539803680,INSTABAR ROOFTOP,BARINSTA S.A.C.,21/10/2024,21/10/2024
Carlos Expeditions,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Av. Le?n Velarde 119,reservas@carlosexpeditions.com; carlosexpeditions@gmail.com,www.carlosexpeditions.com,987 592 518 / 914 126 312,17,1,1,Madre de Dios,Tambopata,Tambopata,10427469684,Carlos Expeditions,Perez Chacon Nancy,11/02/2021,26/10/2024
Awake in travel,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Av. Panamericana Norte KM 1199 - Canoas de Punta Sal,awakeintravel@gmail.com / ziarek@yahoo.com,www.linktree/awakeintravel,918147681,24,2,3,Tumbes,Contralmirante Villar,Canoas de Punta Sal,20611245590,Awake in travel,Awake in Travel,4/06/2024,1/10/2024
"\"Cebicheria \"\"Mi Barrunto\"\"\"",2202,ALIMENTOS Y BEBIDAS,220203,Restaurantes Pescados & Mariscos,220203,Restaurantes Pescados & Mariscos,Jr. Sebastian Barranca 935,mibarunto@hotmail.com,www.mibarrunto.com,924722256,15,1,15,Lima,Lima,La Victoria,20537746956,"\"Cebicheria \"\"Mi Barrunto\"\"\"",MARIARANDA S.A.C.,10/11/2010,23/10/2024
Las Dalias,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220101,Hoteles,22010103,H.3 Estrellas,Cl. Las Dalias 370 Residencial Huaral,lasdaliashotel@gmail.com,www.lasdaliashuaral.com,(01) 246 - 1387 / 982352698,15,6,1,Lima,Huaral,Huaral,20225722707,Las Dalias,Inversiones Tur?sticas Las Dalias SCRLTD,22/10/2002,9/10/2024
Inyawasi Apart Hotel,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220107,Hospedaje no Categorizado,220107,Hospedaje no Categorizado,Cl. Coricalle K-7,inyawasiapartment@gmail.com,"",958989597,8,1,1,Cusco,Cusco,Cusco,20606844990,Inyawasi Apart Hotel,Chamsar S.A.C.,22/10/2024,22/10/2024
Killa Expeditions,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Cl. Chaparro 287,info@killaexpeditions.com;  operacionescuscokillaexpeditios@hotmail.com,wwwkillaexpeditions.com,984373913 / 984126278,8,1,1,Cusco,Cusco,Cusco,20600857461,Killa Expeditions,Killa Expeditions E.I.R.L.,7/10/2024,7/10/2024
Hostal La Posada del Arriero,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220101,Hoteles,22010103,H.3 Estrellas,Jr. Grau 636,reservas@posadadelarriero.net,www.posadadelarriero.net,(041) 478945 / 941700888,1,1,1,Amazonas,Chachapoyas,Chachapoyas,10334039850,Hostal La Posada del Arriero,Paula Elena Chavez de Silva,12/02/2021,4/10/2024
Cruz del Sur,2203,TRANSPORTE,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Ferrocarril 151,"",www.cruzdelsur.com.pe,(064) 221737,12,1,1,Jun?n,Huancayo,Huancayo,20100227461,Cruz del Sur,Transportes Cruz del Sur S.A.C.,19/08/2003,1/10/2024
Cebicherias Piscis,2202,ALIMENTOS Y BEBIDAS,220203,Restaurantes Pescados & Mariscos,220203,Restaurantes Pescados & Mariscos,Av. Universitaria 2036,piscis.universitaria7@gmail.com,www.piscis.pe,984128027,15,1,17,Lima,Lima,Los Olivos,20603734131,Cebicherias Piscis,Piscis Buffet & Catering E.I.R.L.,20/10/2014,23/10/2024
Orange Nation,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Mza. H Lote. 11 A.H. Viva El Peru Segunda Etapa,orangenationperu@gmail.com,www.orange-nation.com,992126224,8,1,6,Cusco,Cusco,Santiago,20604162786,Orange Nation,Orange Nation S.R.L.,7/10/2024,7/10/2024
Pizzeria Hornito,2202,ALIMENTOS Y BEBIDAS,220220,Pizzer?as,220220,Pizzer?as,Jr. Jos? Maria Flores 347,"","",997958995,12,9,1,Jun?n,Chupaca,Chupaca,20603226390,Pizzeria Hornito,Eventos Sociales Ames S.A.C.,29/10/2024,29/10/2024
I-baigo Premium / Wine bar,2204,ENTRETENIMIENTO,220409,Bares/Pubs,220409,Bares/Pubs,Cl. Grimaldo del Solar 615,contacto@i-baigorria.com,https://ibaigo.pe/es/inicio/,953887391,15,1,22,Lima,Lima,Miraflores,20607446599,I-baigo Premium / Wine bar,IBAI GORRIA S.A.C,4/09/2023,10/10/2024
Chifa Taypa,2202,ALIMENTOS Y BEBIDAS,220221,Chifas,220221,Chifas,Jr. Andrea Arauco 119,"","",986308612,12,9,1,Jun?n,Chupaca,Chupaca,20610421378,Chifa Taypa,Inversiones Yesuwok E.I.R.L.,29/10/2024,29/10/2024
Cruz del Sur,2203,TRANSPORTE,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. F - 5C. Ex. Campamento Gra?a,"",www.cruzdelsur.com.pe,(073) 38-4229,20,7,1,Piura,Talara,Pari?as,20100227461,Cruz del Sur,Transportes Cruz del Sur S.A.C.,19/08/2003,1/10/2024
Viajes Lafayette,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Calle Apurimac N? 107 (Presencial y Digital),reservas@viajeslafayette.com,www.viajeslafayette.com,(052) 42-7575,23,1,1,Tacna,Tacna,Tacna,20519976545,Viajes Lafayette,Viajes Lafayette S.A.C,28/03/2007,17/10/2024
Sol de Paij?n,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,Jr. Ica 390,administracion@soldepaijan.com,www.soldepaijan.com,(01) 489-2505 / 933245074,15,1,1,Lima,Lima,Cercado de Lima,20553731918,Sol de Paij?n,Negocios e Inversiones Sol de Paij?n S.A.C.,13/09/2023,17/10/2024
L'Eau Vive del Per?,2202,ALIMENTOS Y BEBIDAS,220201,Restaurantes comida Internacional,220201,Restaurantes comida Internacional,Jr. Ucayali 370,leauviveperu@gmail.com,www.leauvivedeperu.webnode.es,(01) 427-5612  / 950274194,15,1,1,Lima,Lima,Cercado de Lima,20108713870,L'Eau Vive del Per?,Asociaci?n de Trabajadoras Misioneras de la Inmaculada Concepci?n L?Eau Vive del Per?,15/04/2013,17/10/2024
Traveler Point del BCP,2219,SERVICIOS COMPLEMENTARIOS,221903,Casas de Cambio,221903,Casas de Cambio,Portal Harinas 177,gabrielapchavez@bcp.com.pe,www.viabcp.com,(084) 581230 Anexo 94802 / 933694650,8,1,1,Cusco,Cusco,Cusco,20100047218,Traveler Point del BCP,Banco de Cr?dito del Per?,16/09/1998,9/10/2024
Los Herrajes Vivencial,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,Km. 5.7. El Tr?pico (Carretera a Huanchaco),"",https://www.losherrajes.com/,(044) 204846,13,1,1,La Libertad,Trujillo,Trujillo,10179182179,Los Herrajes Vivencial,"CRUZ DE GOICOCHEA, LUZGARDIZ EMERITA",5/06/2013,21/10/2024
Holiday Inn Lima Miraflores,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220101,Hoteles,22010102,H.4 Estrellas,Av. Ricardo Palma 355,reservaslimmi@ihg.com; hi.miraflores@ihg.com,www.ihg.com,(01) 614-9696 / 949142427,15,1,22,Lima,Lima,Miraflores,20601017157,Holiday Inn Lima Miraflores,GRUCABA S.A.C.,15/10/2024,15/10/2024
LA VIEJA TABERNA,2202,ALIMENTOS Y BEBIDAS,220216,Restaurant & Bar,220216,Restaurant & Bar,Jr. San Mart?n 323,reservas@laviejataberna.com,https://laviejataberna.com/?fbclid=IwY2xjawGDquhleHRuA2FlbQIxMAABHTtHl,973 694 709,13,1,1,La Libertad,Trujillo,Trujillo,10457692710,LA VIEJA TABERNA,SISNIEGAS AVILA MILTON JONATHAN PIERR,21/10/2024,21/10/2024
Arena Blanca Travel,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Cl. Alfonso Ugarte 115,arenablanca@gmail.com,https://arenablancatravel.com,901874702,24,1,1,Tumbes,Tumbes,Tumbes,20609016559,Arena Blanca Travel,Arena Blanca Travel E.I.R.L,9/01/2024,1/10/2024
Kusa Treks Per?,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Urb. Maracavalle O-15,info@kusatreks.com;  kusatreks@gmail.com,www.kusatreks.com,934146651,8,1,8,Cusco,Cusco,Wanchaq,20602048455,Kusa Treks Per?,Kusa Treks Peru E.I.R.L.,7/10/2024,7/10/2024
Machupicchu Over Mountain,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,"Jr. Mateo Pumacahua 431, Tahuantinsuyo",gerencia@machupicchuovermountain.com;  reserva@machupicchuovermountain.com,www.machupicchuovermountain.com,984926336 / 984789993,8,1,8,Cusco,Cusco,Wanchaq,10239629844,Machupicchu Over Mountain,Luis Camilo Cama Jara,7/10/2024,19/10/2024
Rustica,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,Av. Nicolas de Pierola 910,rustica@hellomarketing.pe,https://cartas.rclub.pe/tiendas,(01) 680 - 7070,15,1,1,Lima,Lima,Cercado de Lima,20557123106,Rustica,Fundaci?n Corporaci?n R?stica,10/02/2011,10/10/2024
EL TRASGU,2204,ENTRETENIMIENTO,220409,Bares/Pubs,220409,Bares/Pubs,Av. El Golf,.,.,914 408 397 / (044) 282643,13,1,11,La Libertad,Trujillo,V?ctor Larco Herrera,20477593152,EL TRASGU,MCD INVERSIONES S.A.C.,21/10/2024,21/10/2024
Tacna Travel Internacional,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Av. San Martin 744 Of. 201,receptivo@tacnatravel,www.tacnatravel.com,(052) 42-3625 / (052) 24-4776 / 981 088264,23,1,1,Tacna,Tacna,Tacna,20325825163,Tacna Travel Internacional,Tacna Travel Internacional Service S.R.LTDA,18/05/2001,17/10/2024
Mayte Tours,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Cl. Francisco Bolognesi 196,maytetours@gmail.com,www.maytetours.com,(072)523219 / 972892506 / 972892501,24,1,1,Tumbes,Tumbes,Tumbes,20409212817,Mayte Tours,Operadora de Turismo Mayte Tours E.I.R.L.,29/04/2011,1/10/2024
Chaxras,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,"Calle 8 Mza. K, Lote 66B, Urb. Casa Blanca",reservas@chaxras.com,www.chaxras.com,(01) 367-4166 / Whatsapp 946073690,15,1,23,Lima,Lima,Pachac?mac,20523372166,Chaxras,Inversiones Jallpa S.A.C.,13/10/2014,23/10/2024
Ca?os del Santero Bar,2204,ENTRETENIMIENTO,220409,Bares/Pubs,220409,Bares/Pubs,Av. Jos? Larco 1198,inversionescerveceras@gmail.com,"",924641458,15,1,22,Lima,Lima,Miraflores,20605771948,Ca?os del Santero Bar,Inversiones Cerveceras S.A.C,31/08/2023,10/10/2024
EL TRASGU,2202,ALIMENTOS Y BEBIDAS,220216,Restaurant & Bar,220216,Restaurant & Bar,Av. El Golf,.,.,914 408 397 / (044) 282643,13,1,11,La Libertad,Trujillo,V?ctor Larco Herrera,20477593152,EL TRASGU,MCD INVERSIONES S.A.C.,21/10/2024,21/10/2024
Pollos Y Parrillas El Meson,2202,ALIMENTOS Y BEBIDAS,220217,Poller?a,220217,Poller?a,Av. Ricardo Palma 156,"","",901715090 / 917229418,12,4,1,Jun?n,Jauja,Jauja,20601409853,Pollos Y Parrillas El Meson,Inversiones Dimart Empresa Undividual de Responsabilidad Limitada - Inversiones Dimart E.I.R.L.,16/10/2024,16/10/2024
?NDIGO,2204,ENTRETENIMIENTO,220409,Bares/Pubs,220409,Bares/Pubs,AV. FATIMA MZA. SN LOTE. C1 SEC. LA ENCALADA DEL GOLF LA LIBERTAD,.,.,.,13,1,11,La Libertad,Trujillo,V?ctor Larco Herrera,20612640786,?NDIGO,INDIGO ENTRETENIMIENTO S.A.C.,21/10/2024,21/10/2024
Yeyos,2204,ENTRETENIMIENTO,220409,Bares/Pubs,220409,Bares/Pubs,AV. AMERICA SUR NRO. 2175 URB. SANTA MARIA ET. 3,yeyosrestaurant@gmail.com,.,955 178 501,13,1,1,La Libertad,Trujillo,Trujillo,20609615614,Yeyos,Gastronomia y Diversion Yeyos E.I.R.L.,22/10/2024,22/10/2024
Rosillo Tours,2205,AGENCIAS DE VIAJES Y TURISMO,220502,Agencias Minoristas,220502,Agencias Minoristas,Malec?n Benavides 904 oficina Olva Courier (Espaldas de Plaza Mayor),rosillo.servicios@gmail.com,www.rosillotours.com,(072) 523603 / 985104328,24,1,1,Tumbes,Tumbes,Tumbes,20542908701,Rosillo Tours,Rosillo & servicios EIRL,27/08/2003,1/10/2024
Inotawa Expeditions,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Quebrada. Rio Tambopata Margen Derecha s/n,inotawa@hotmail.com,www.inotawaexpeditions.pe,997 149 355 / 910 837 587 / (082) 572511,17,1,1,Madre de Dios,Tambopata,Tambopata,20485476564,Inotawa Expeditions,Inotawa S.R.L,28/03/2006,26/10/2024
Mariva Cantina Moderna - Sheraton Lima Historic Center,2202,ALIMENTOS Y BEBIDAS,220216,Restaurant & Bar,220216,Restaurant & Bar,Av. Paseo de la Rep?blica 170,lima.Reservations@sheraton.com,https://www.espanol.marriott.com/es-es/marriott-brands/portfolio/exper,(01) 315 - 5055 / 985020840,15,1,1,Lima,Lima,Cercado de Lima,20100032610,Mariva Cantina Moderna - Sheraton Lima Historic Center,Hoteles Sheraton Del Per? S.A.C.;,14/09/2023,10/10/2024
Empresa de Transportes ETSA,2203,TRANSPORTE,220301,Terrestre,22030101,Transporte Terrestre Nacional,Jr. Dos de Mayo Cuadra 15,etsatransporte@gmail.com,www.etsa.com,965678996,1,1,1,Amazonas,Chachapoyas,Chachapoyas,20601292654,Empresa de Transportes ETSA,Empresa de Transportes Sol Amazonense S.A.,27/10/2023,10/10/2024
Peru Ecocamp,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,"Sector Parubamba Km. 4.5, Carretera Soraypampa",rmontes@peruecocamp.com ; info@peruecocamp.com ; sales@peruecocamp.com,www.peruecocamp.com,984765659,8,3,7,Cusco,Anta,Mollepata,20600908686,Peru Ecocamp,Peru Ecocamp S.A.C.,15/03/2024,7/10/2024
Toto's Pizza,2202,ALIMENTOS Y BEBIDAS,220220,Pizzer?as,220220,Pizzer?as,Av. Leandra Torres 112,"","",974898921,12,1,1,Jun?n,Huancayo,Huancayo,20568283385,Toto's Pizza,Toto's Pizza S.A.C.,31/07/2024,29/10/2024
Sabor y Arte,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,Av. Republica del Per? 218,"","",(072) 507890 / 956542319,24,3,2,Tumbes,Zarumilla,Aguas Verdes,10472176213,Sabor y Arte,Andrea Sanchez Bermeo,22/04/2022,1/10/2024
Hawaii Chicken,2202,ALIMENTOS Y BEBIDAS,220217,Poller?a,220217,Poller?a,Av. Ricardo Palma 112,"","",930239851 / 967854740,12,4,1,Jun?n,Jauja,Jauja,20541317041,Hawaii Chicken,Negociaciones Hawii Chiquen S.A.C.,16/10/2024,16/10/2024
Hostal Continental,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220103,Hostales,22010302,Hs.2 Estrellas,Jr. Ortiz Arrieta 431,hostalcontinental@hotmail.com,"",(041) 478352,1,1,1,Amazonas,Chachapoyas,Chachapoyas,10334043041,Hostal Continental,Villa de Ramirez Maria Eufelinda,2/02/2005,4/10/2024
Spondylus,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Jr. La Mar 356. Interior 1-A,wreynaga@gmail.com; sumatra2911@yahoo.com,"",1.0003392,7,1,1,Callao,Callao,Callao,20551205526,Spondylus,Spondylus Servicios Mar?timos Generales S.A.C,5/06/2021,28/10/2024
Hospedaje Tahuantinsuyo,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220107,Hospedaje no Categorizado,220107,Hospedaje no Categorizado,"\"Pasaje Ica S/N  AA. HH. Tahuantinsuyo. Frente al Grifo \"\"Jim\"\"\"",plazahotelapart@gmail.com,"",(063) 423391 / 974559569,19,1,1,Pasco,Pasco,Chaupimarca,10075142132,Hospedaje Tahuantinsuyo,Laureano Mauricio Herless,20/08/2021,19/10/2024
Faena Show Bar,2204,ENTRETENIMIENTO,220409,Bares/Pubs,220409,Bares/Pubs,Cl. Bellavista 231,reservas@faena.pe,"",933172934,15,1,22,Lima,Lima,Miraflores,20608283057,Faena Show Bar,Cafemendu Producciones S.A.C,17/08/2023,10/10/2024
Sierra Group & Company,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Urb. Ccapac Yupanqui Av. Velasco Astete 14 E,"","","",8,1,8,Cusco,Cusco,Wanchaq,20608875442,Sierra Group & Company,Sierra Group & Company S.A.C.,7/10/2024,7/10/2024
Hospedaje Harry I,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220107,Hospedaje no Categorizado,220107,Hospedaje no Categorizado,Av. Simon Bolivar 394,hturisticoharry@hotmail.com,-,(061) 481586,25,3,1,Ucayali,Padre Abad,Padre Abad,20393334658,Hospedaje Harry I,Hospedaje Tur?stico Harry E.I.R.L.,2/02/2005,8/10/2024
Restaurante Big Ben,2202,ALIMENTOS Y BEBIDAS,220203,Restaurantes Pescados & Mariscos,220203,Restaurantes Pescados & Mariscos,Av. V?ctor Larco 836 Urb . Boquer?n,bigben@ec-red.com; reservas@bigbenhuanchaco.com,www.bigbenhuanchaco.com,(044) 46-1378 / 46-1869,13,1,4,La Libertad,Trujillo,Huanchaco,20481493677,Restaurante Big Ben,Negocios de Playa S.A.C.,22/11/2005,17/10/2024
Papi's Treks,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,20600795482,hello@papistreks.com,www.papistreks.com,953727671,8,1,1,Cusco,Cusco,Cusco,20600795482,Papi's Treks,Papi's Treks E.I.R.L.,7/10/2024,7/10/2024
Per? Fantastic Travel,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Jr. 1 De Mayo Mza. O Lote. 20 Int. 1 Urb. Zarzuela Alta,info@perufantastic.com ; perufantastictravel@gmail.com,www.perufantastic.com,982050591,8,1,6,Cusco,Cusco,Santiago,20564490190,Per? Fantastic Travel,Peru Fantastic Travel E.I.R.L.,7/10/2024,7/10/2024
Global Travel,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Jr. Callao 146 (Exclusivamente digital),ventas@globaltravel.com.pe,https://globaltravel.com.pe/,982488455 / 910004105,15,1,1,Lima,Lima,Cercado de Lima,20601861802,Global Travel,Mundo Group Representaciones EIRL,9/10/2024,9/10/2024
Cruz del Sur,2203,TRANSPORTE,220301,Terrestre,22030101,Transporte Terrestre Nacional,"Av. Industrial 121, Urb. Bancopata",adm.cuzco@gibarcena.outlook.com.pe,www.cruzdelsur.com.pe,(084) 480010 / 993555305,8,1,6,Cusco,Cusco,Santiago,20100227461,Cruz del Sur,Transportes Cruz del Sur S.A.C.,19/08/2003,1/10/2024
Roky?s,2202,ALIMENTOS Y BEBIDAS,220217,Poller?a,220217,Poller?a,Jr. de la Uni?n 800,servicioalcliente@rokys.com,www.rokys.com,(01) 613-5000,15,1,1,Lima,Lima,Cercado de Lima,20513427710,Roky?s,Grupo Rokys S.A.C.,15/11/2023,10/10/2024
Restaurante Tsukayama,2202,ALIMENTOS Y BEBIDAS,220221,Chifas,220221,Chifas,Jr. Ucayali 628,"",www.restaurantedulceriatsukayama.com,(01) 427-6865 / 995959090,15,1,1,Lima,Lima,Cercado de Lima,20603973713,Restaurante Tsukayama,Restaurant Dulcer?a Tsukayama E.I.R.L.,15/11/2023,10/10/2024
Han Muy,2202,ALIMENTOS Y BEBIDAS,220201,Restaurantes comida Internacional,220201,Restaurantes comida Internacional,Mz.7 LT 11- Urb. Los Jardines del Golf,"",https://www.chifahanmuy.com/,(044) 533506 / 948395455 / 948836360,13,1,1,La Libertad,Trujillo,Trujillo,20481633606,Han Muy,Servicios de Alimentos M&A SAC,11/04/2007,17/10/2024
Palomino?s,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,"Cl. Jos? de la Riva Ag?ero 804, Urb. El Tr?bol",reservas@palominos.pe,www.palominos.pe,(01) 533-1344 / 980228213 / 999618696 / 998731024,15,1,17,Lima,Lima,Los Olivos,20538012778,Palomino?s,Inversiones Alimentarias y Servicios Multiples E.I.R.L.,20/10/2014,23/10/2024
Aeropuerto de Chachapoyas,2203,TRANSPORTE,220307,Terminales,22030701,Aeropuertos,Av. Aeropuerto s/n,nattya.villar@adp.com.pe,www.adp.com.pe/es/sede/chachapoyas,(041) 47-7122 / 972690221,1,1,1,Amazonas,Chachapoyas,Chachapoyas,20514513172,Aeropuerto de Chachapoyas,Aeropuertos del Per? S.A. (Chachapoyas),5/09/2006,11/10/2024
Pollos y Parillas La Granja,2202,ALIMENTOS Y BEBIDAS,220217,Poller?a,220217,Poller?a,Jr. Jun?n 941,"","",979206122,12,4,1,Jun?n,Jauja,Jauja,20601934982,Pollos y Parillas La Granja,Inversiones & Negociaciones La Granja  E.I.R.L,16/10/2024,16/10/2024
Cl?nica Peruano Americana,2208,SALUD,220802,Cl?nicas,220802,Cl?nicas,"Av. Mansiche 810, Trujillo 13011",clipam@clipam.com,http://clipam.pe/,044 - 242400 / 044 - 241058,13,1,1,La Libertad,Trujillo,Trujillo,20131914416,Cl?nica Peruano Americana,CLINICA PERUANO AMERICANA S.A.,21/10/2024,21/10/2024
Rustica,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,"Jr. Huallaga 140, frente a Palacio de Gobierno y costado de la Catedral de Lima",rustica@hellomarketing.pe,https://cartas.rclub.pe/tiendas,(01) 680 - 7070,15,1,1,Lima,Lima,Cercado de Lima,20557123106,Rustica,Fundaci?n Corporaci?n R?stica,10/02/2011,10/10/2024
Inca Trail,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Cl. Choquechaca N? 229 Int. B,turismop@hotmail.com,"",(084)255305/ 984702307,8,1,1,Cusco,Cusco,Cusco,20537458144,Inca Trail,Inverciones Inca Trail Reservations E.I.R.L.,4/02/2014,7/10/2024
Chita Loca,2202,ALIMENTOS Y BEBIDAS,220203,Restaurantes Pescados & Mariscos,220203,Restaurantes Pescados & Mariscos,Jr. Carabaya 750 - 752,reservas@chitalocaperu.com,www.chitalocaperu.com,960749427,15,1,1,Lima,Lima,Cercado de Lima,20601599172,Chita Loca,Chita Loca Sociedad An?nima Cerrada,13/09/2023,17/10/2024
Tay's Mundo Travel,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Av. San Luis 1950 Oficina 701 (Presencial y Digital),info@taysmundo.com,www.taysmundo.com,(01) 774-4347,15,1,30,Lima,Lima,San Borja,20610780769,Tay's Mundo Travel,Tay's Mundo Travel S.A.C.,11/10/2024,11/10/2024
Geranio Tours,2205,AGENCIAS DE VIAJES Y TURISMO,220502,Agencias Minoristas,220502,Agencias Minoristas,Calle San Mart?n N? 421 Of.100,geraniotours@hotmail.com; geraniotours@gmail.com,"",952 999671,23,1,1,Tacna,Tacna,Tacna,20119340641,Geranio Tours,Servicio Tur?stico Geranio Tours E.I.R.LTDA,9/10/2002,17/10/2024
